date,lbs,,
11/18/2021,10307,,
11/19/2021,8634,,
11/19/2021,3095,,
11/19/2021,5536,,
11/19/2021,1850,,
11/22/2021,10564,,
11/23/2021,8634,,
11/23/2021,3130,,
11/23/2021,2304,,
11/23/2021,6000,,
11/24/2021,8106,,
11/30/2021,4450,,
12/1/2021,5205,,
12/2/2021,5777,,
12/3/2021,1544,,
12/3/2021,2790,,
12/7/2021,8139,,
12/7/2021,3230,,
12/8/2021,6307,,
12/9/2021,8203,,
12/10/2021,1882,,
12/10/2021,1864,,
12/13/2021,12758,,
12/14/2021,2190,,
12/15/2021,7556,,
12/16/2021,8525,,
12/17/2021,3784,,
12/17/2021,3350,,
12/17/2021,2360,,
12/20/2021,14793,,
12/21/2021,1165,,
12/22/2021,6929,,
12/28/2021,5630,,
12/29/2021,4183,,
12/29/2021,3105,,
12/30/2021,1362,,
1/4/2022,3910,,
1/5/2022,3493,,
1/6/2022,2392,,
1/6/2022,7474,,
1/7/2022,7270,,
1/7/2022,3440,,
1/8/2022,1820,,
1/10/2022,9200,,
1/12/2022,1711,,
1/13/2022,2642,,
1/13/2022,2209,,
1/15/2022,1985,,
1/18/2022,4680,,
1/19/2022,3888,,
1/20/2022,4472,,
1/20/2022,5858,,
1/20/2022,5142,,
1/22/2022,1860,,
1/24/2022,9639,,
1/25/2022,3360,,
1/26/2022,1966,,
1/27/2022,3451,,
1/27/2022,2636,,
1/29/2022,4920,,
1/31/2022,8792,,
2/1/2022,3935,,
2/2/2022,4463,,
2/3/2022,5119,,
2/3/2022,19964,,
2/4/2022,1380,,
2/5/2022,4060,,
2/7/2022,10944,,
2/7/2022,1196,,
2/8/2022,3070,,
2/9/2022,2556,,
2/10/2022,6839,,
2/10/2022,4740,,
2/12/2022,910,,
2/14/2022,10730,,
2/15/2022,3750,,
2/16/2022,4590,,
2/17/2022,2443,,
2/17/2022,20908,,
2/18/2022,1756,,
2/19/2022,2400,,
2/21/2022,10659,,
2/22/2022,900,,
2/22/2022,2970,,
2/22/2022,2595,,
2/23/2022,1786,,
2/24/2022,2715,,
2/26/2022,1660,,
2/28/2022,10113,,
3/1/2022,2900,,
3/2/2022,3529,,
3/3/2022,3114,,
3/3/2022,9096,,
3/3/2022,2288,,
3/4/2022,2863,,
3/5/2022,1025,,
3/7/2022,8251,,
3/8/2022,2765,,
3/9/2022,1452,,
3/10/2022,3710,,
3/10/2022,5113,,
3/11/2022,1989,,
3/12/2022,820,,
3/14/2022,11097,,
3/15/2022,2165,,
3/16/2022,4648,,
3/17/2022,3423,,
3/17/2022,11045,,
3/18/2022,4606,,
3/18/2022,3392,,
3/19/2022,2080,,
3/21/2022,7278,,
3/22/2022,2915,,
3/23/2022,1772,,
3/24/2022,4354,,
3/24/2022,4065,,
3/25/2022,1889,,
3/25/2022,4891,,
3/26/2022,1740,,
3/28/2022,1112,,
3/28/2022,8295,,
3/29/2022,3168,,
3/29/2022,2490,,
4/8/2022,2966,,
4/8/2022,7704,,
4/8/2022,2352,,
4/8/2022,5398,,
4/8/2022,3573,,
4/8/2022,1292,,
4/15/2022,4144,,
4/20/2022,1694,,
4/20/2022,4728,,
4/20/2022,7572,,
4/20/2022,6725,,
4/20/2022,3202,,
4/20/2022,430,,
4/20/2022,1346,,
4/20/2022,2492,,
4/22/2022,414,,
4/22/2022,6875,,
4/22/2022,1749,,
4/25/2022,2548,,
4/25/2022,3592,,
4/26/2022,3497,,
4/27/2022,3103,,
4/27/2022,4678,,
4/27/2022,9627,,
4/29/2022,652,,
4/29/2022,6974,,
4/29/2022,3519,,
